Id,ActivityHour,TotalIntensity,AverageIntensity
1503960366,5/1/2016 4:00:00 PM,23,0.383333
1503960366,5/1/2016 5:00:00 PM,33,0.55
1503960366,5/1/2016 6:00:00 PM,70,1.166667
1503960366,5/1/2016 7:00:00 PM,14,0.233333
1503960366,5/1/2016 8:00:00 PM,6,0.1
1503960366,5/1/2016 9:00:00 PM,25,0.416667
1503960366,5/1/2016 10:00:00 PM,50,0.833333
1503960366,5/1/2016 11:00:00 PM,76,1.266667
1503960366,5/2/2016 12:00:00 AM,0,0.0
1503960366,5/2/2016 1:00:00 AM,7,0.116667
1503960366,5/2/2016 2:00:00 AM,0,0.0
1503960366,5/2/2016 3:00:00 AM,1,0.016667
1503960366,5/2/2016 4:00:00 AM,0,0.0
1503960366,5/2/2016 5:00:00 AM,0,0.0
1503960366,5/2/2016 6:00:00 AM,0,0.0
1503960366,5/2/2016 7:00:00 AM,3,0.05
1503960366,5/2/2016 8:00:00 AM,12,0.2
1503960366,5/2/2016 9:00:00 AM,30,0.5
1503960366,5/2/2016 10:00:00 AM,19,0.316667
1503960366,5/2/2016 11:00:00 AM,16,0.266667
1503960366,5/2/2016 12:00:00 PM,64,1.066667
1503960366,5/2/2016 1:00:00 PM,21,0.35
1503960366,5/2/2016 2:00:00 PM,13,0.216667
1503960366,5/2/2016 3:00:00 PM,11,0.183333
1503960366,5/2/2016 4:00:00 PM,24,0.4
1503960366,5/2/2016 5:00:00 PM,12,0.2
1503960366,5/2/2016 6:00:00 PM,9,0.15
1503960366,5/2/2016 7:00:00 PM,13,0.216667
1503960366,5/2/2016 8:00:00 PM,105,1.75
1503960366,5/2/2016 9:00:00 PM,25,0.416667
1503960366,5/2/2016 10:00:00 PM,28,0.466667
